香港,#genre#
TVB無綫新聞,http://120.53.103.239/飞云.php?id=5
TVB翡翠,http://120.53.103.239/飞云.php?id=4
鳳凰衛視,http://120.53.103.239/飞云.php?id=1
TVB翡翠,http://120.53.103.239/飞云.php?id=6
TVB戲曲,http://120.53.103.239/飞云.php?id=9
TVB黃金華劇,http://120.53.103.239/飞云.php?id=11
TVB明珠,http://120.53.103.239/飞云.php?id=7
鳳凰資訊,http://120.53.103.239/飞云.php?id=2
鳳凰香港,http://120.53.103.239/飞云.php?id=3
TVBViuTV,http://120.53.103.239/飞云.php?id=10
TVB戲曲,http://120.53.103.239/飞云.php?id=18
28AI赛马,http://120.53.103.239/飞云.php?id=19
TVB粵語片,http://120.53.103.239/飞云.php?id=22
ANIMAX,http://120.53.103.239/飞云.php?id=24
TVB,http://120.53.103.239/飞云.php?id=8
TVB星河),http://120.53.103.239/飞云.php?id=12
TVB星河(国语),http://120.53.103.239/飞云.php?id=13
TVB黃金華劇,http://120.53.103.239/飞云.php?id=14
TVB翡翠,http://120.53.103.239/飞云.php?id=15
MYTV翡翠,http://120.53.103.239/飞云.php?id=16
美亚电影,http://120.53.103.239/飞云.php?id=17
ROCK Entertainment 綜藝娛樂,http://120.53.103.239/飞云.php?id=25
天映经典,http://120.53.103.239/飞云.php?id=26
美亚电影,http://120.53.103.239/飞云.php?id=27
TVB娛樂新聞,http://120.53.103.239/飞云.php?id=28
MYTV18,http://120.53.103.239/飞云.php?id=29
TVB亞洲劇,http://120.53.103.239/飞云.php?id=30
TVB千禧經典,http://120.53.103.239/飞云.php?id=31
TVB娛樂新聞,http://120.53.103.239/飞云.php?id=32
TVB華語劇,http://120.53.103.239/飞云.php?id=34
TVB星河(粤语),http://120.53.103.239/飞云.php?id=35
RHK31,http://120.53.103.239/飞云.php?id=39
RHK32,http://120.53.103.239/飞云.php?id=40
美亚电影,http://120.53.103.239/飞云.php?id=41
Now TV 新闻,http://120.53.103.239/飞云.php?id=42

西瓜知识,#genre#
动物星球,http://120.53.103.239/飞云.php?id=108
国家地理,http://120.53.103.239/飞云.php?id=109
国家地理野生,http://jaz720.huytv.top/live/pmb8krf68n4z/4d8cf4af8de3574c/476642.ts
国家地理野生,http://120.53.103.239/飞云.php?id=110

ELTA体育2,http://120.53.103.239/飞云.php?id=73
ELTA体育3,http://120.53.103.239/飞云.php?id=74
BBC Earth HD,http://120.53.103.239/飞云.php?id=111
MTV,http://120.53.103.239/飞云.php?id=112
astro BOO,http://120.53.103.239/飞云.php?id=113
爱奇艺,http://120.53.103.239/飞云.php?id=115
日本i,http://120.53.103.239/飞云.php?id=118
日本,http://120.53.103.239/飞云.php?id=119
中天新闻,http://120.53.103.239/飞云.php?id=85

西瓜电影台,#genre#
龍詳時代台,http://120.53.103.239/飞云.php?id=86
東森電影台,http://120.53.103.239/飞云.php?id=87
東森洋片台,http://120.53.103.239/飞云.php?id=88
好萊塢電影,http://120.53.103.239/飞云.php?id=89
緯來電影台,http://120.53.103.239/飞云.php?id=90
龍華戲劇台,http://120.53.103.239/飞云.php?id=91
龍華偶像台,http://120.53.103.239/飞云.php?id=92
龍華洋片台,http://120.53.103.239/飞云.php?id=93
龍華電影台,http://120.53.103.239/飞云.php?id=94
美亞電影台,http://120.53.103.239/飞云.php?id=95
HBO HD,http://120.53.103.239/飞云.php?id=96
HBO_HITS,http://120.53.103.239/飞云.php?id=97
HBO 溫馨家庭,http://120.53.103.239/飞云.php?id=98
CINEMAX,http://120.53.103.239/飞云.php?id=99
AXN HD,http://120.53.103.239/飞云.php?id=100
華納電影台,http://120.53.103.239/飞云.php?id=101
国际电影台,http://120.53.103.239/飞云.php?id=103
天映频道,http://120.53.103.239/飞云.php?id=104
TVB亞洲劇,http://120.53.103.239/飞云.php?id=46
Now TV 星影,http://120.53.103.239/飞云.php?id=49
Now TV 爆谷,http://120.53.103.239/飞云.php?id=50
八大戲劇台,http://120.53.103.239/飞云.php?id=62
愛爾達影劇,http://120.53.103.239/飞云.php?id=64
東森戲劇台,http://120.53.103.239/飞云.php?id=68

西瓜台台湾,#genre#
民視HD,http://120.53.103.239/飞云.php?id=43
台視HD,http://120.53.103.239/飞云.php?id=42
tvN,http://120.53.103.239/飞云.php?id=45
HOY,http://120.53.103.239/飞云.php?id=47
HOY,http://120.53.103.239/飞云.php?id=48
民視HD,http://120.53.103.239/飞云.php?id=51
台視HD,http://120.53.103.239/飞云.php?id=52
中視HD,http://120.53.103.239/飞云.php?id=53
華視HD,http://120.53.103.239/飞云.php?id=54
公視HD,http://120.53.103.239/飞云.php?id=55
民視HD,http://120.53.103.239/飞云.php?id=56
三立綜合台,http://120.53.103.239/飞云.php?id=57
三立台灣台,http://120.53.103.239/飞云.php?id=58
三立都會台,http://120.53.103.239/飞云.php?id=59
八大綜合台,http://120.53.103.239/飞云.php?id=60
八大第一台,http://120.53.103.239/飞云.php?id=61

愛爾達綜合,http://120.53.103.239/飞云.php?id=63
中天綜合台,http://120.53.103.239/飞云.php?id=65
CN卡通,http://120.53.103.239/飞云.php?id=66
東森綜合台,http://120.53.103.239/飞云.php?id=67
美食星球檯,http://120.53.103.239/飞云.php?id=69
亞洲美食台,http://120.53.103.239/飞云.php?id=70
亞洲旅遊台,http://120.53.103.239/飞云.php?id=71
爱尔达体育1,http://120.53.103.239/飞云.php?id=72
DMAX,http://120.53.103.239/飞云.php?id=76
中视新闻,http://120.53.103.239/飞云.php?id=82
台视新闻,http://120.53.103.239/飞云.php?id=83
爱尔达体育4,http://120.53.103.239/飞云.php?id=75
TVBS新闻,http://120.53.103.239/飞云.php?id=80
TVBSHD,http://120.53.103.239/飞云.php?id=79
Discovery HD,http://120.53.103.239/飞云.php?id=77
东森新闻,http://120.53.103.239/飞云.php?id=78
TVBS新闻(备),http://108.165.240.85/tbs.php?id=26
ABC news,http://120.53.103.239/飞云.php?id=105
CNN新闻,http://120.53.103.239/飞云.php?id=106
BBC新闻,http://120.53.103.239/飞云.php?id=107
BBC新闻,http://120.53.103.239/飞云.php?id=107




Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.5359.125 Safari/537.36
