4G543翻,#genre#
台视,http://666.iptv543.com:8080/litv.php?token=leifeng&id=4gtv-4gtv066
中视,http://666.iptv543.com:8080/litv.php?token=leifeng&id=4gtv-4gtv040
华视,http://666.iptv543.com:8080/litv.php?token=leifeng&id=4gtv-4gtv041
民视,http://666.iptv543.com:8080/litv.php?token=leifeng&id=4gtv-4gtv002
民视,http://666.iptv543.com:8080/litv.php?token=leifeng&id=4gtv-4gtv155
视新闻,http://666.iptv543.com:8080/litv.php?token=leifeng&id=4gtv-4gtv051
华视新闻,http://666.iptv543.com:8080/litv.php?token=leifeng&id=4gtv-4gtv052
中视新闻,http://666.iptv543.com:8080/litv.php?token=leifeng&id=4gtv-4gtv074
民视新闻,http://666.iptv543.com:8080/litv.php?token=leifeng&id=litv-ftv13
民视台湾,http://666.iptv543.com:8080/litv.php?token=leifeng&id=4gtv-4gtv001
民视第一,http://666.iptv543.com:8080/litv.php?token=leifeng&id=4gtv-4gtv003
民视综艺,http://666.iptv543.com:8080/litv.php?token=leifeng&id=4gtv-4gtv004
台视财经,http://666.iptv543.com:8080/litv.php?token=leifeng&id=4gtv-4gtv056
中视菁采,http://666.iptv543.com:8080/litv.php?token=leifeng&id=4gtv-4gtv064
民视影剧,http://666.iptv543.com:8080/litv.php?token=leifeng&id=litv-ftv09
公视戏剧,http://666.iptv543.com:8080/litv.php?token=leifeng&id=4gtv-4gtv042
中视经典,http://666.iptv543.com:8080/litv.php?token=leifeng&id=4gtv-4gtv080
民视旅游,http://666.iptv543.com:8080/litv.php?token=leifeng&id=litv-ftv07
中天亚洲,http://666.iptv543.com:8080/litv.php?token=leifeng&id=4gtv-4gtv109
中天新闻,http://666.iptv543.com:8080/litv.php?token=leifeng&id=4gtv-4gtv009
东森新闻,http://666.iptv543.com:8080/litv.php?token=leifeng&id=4gtv-4gtv152
镜新闻,http://666.iptv543.com:8080/litv.php?token=leifeng&id=4gtv-4gtv075
非凡新闻,http://666.iptv543.com:8080/litv.php?token=leifeng&id=4gtv-4gtv010
寰宇新闻,http://666.iptv543.com:8080/litv.php?token=leifeng&id=litv-longturn14
寰宇新闻湾,http://666.iptv543.com:8080/litv.php?token=leifeng&id=4gtv-4gtv156
东森财经新闻,http://666.iptv543.com:8080/litv.php?token=leifeng&id=4gtv-4gtv153
非凡商业,http://666.iptv543.com:8080/litv.php?token=leifeng&id=4gtv-4gtv048
第一商业,http://666.iptv543.com:8080/litv.php?token=leifeng&id=4gtv-4gtv104
TVBS HD,http://666.iptv543.com:8080/litv.php?token=leifeng&id=4gtv-4gtv073
TVBS新闻,http://666.iptv543.com:8080/litv.php?token=leifeng&id=4gtv-4gtv072
TVBS欢乐,http://666.iptv543.com:8080/litv.php?token=leifeng&id=4gtv-4gtv068
TVBS精采,http://666.iptv543.com:8080/litv.php?token=leifeng&id=4gtv-4gtv067
靖天综合,http://666.iptv543.com:8080/litv.php?token=leifeng&id=4gtv-4gtv046
靖天国际,http://666.iptv543.com:8080/litv.php?token=leifeng&id=4gtv-4gtv063
靖天资讯,http://666.iptv543.com:8080/litv.php?token=leifeng&id=4gtv-4gtv065
靖天欢乐,http://666.iptv543.com:8080/litv.php?token=leifeng&id=4gtv-4gtv054
靖天育乐,http://666.iptv543.com:8080/litv.php?token=leifeng&id=4gtv-4gtv062
靖天卡通,http://666.iptv543.com:8080/litv.php?token=leifeng&id=4gtv-4gtv044
靖天电影,http://666.iptv543.com:8080/litv.php?token=leifeng&id=4gtv-4gtv061
靖天映画,http://666.iptv543.com:8080/litv.php?token=leifeng&id=4gtv-4gtv055
靖天戏剧,http://666.iptv543.com:8080/litv.php?token=leifeng&id=4gtv-4gtv058
靖天日本,http://666.iptv543.com:8080/litv.php?token=leifeng&id=4gtv-4gtv047
靖洋卡通,http://666.iptv543.com:8080/litv.php?token=leifeng&id=4gtv-4gtv057
靖洋戏剧,http://666.iptv543.com:8080/litv.php?token=leifeng&id=4gtv-4gtv045
爱尔达娱乐,http://666.iptv543.com:8080/litv.php?token=leifeng&id=4gtv-4gtv070
八大综艺,http://666.iptv543.com:8080/litv.php?token=leifeng&id=4gtv-4gtv039
八大精彩,http://666.iptv543.com:8080/litv.php?token=leifeng&id=4gtv-4gtv034
亚洲旅游,http://666.iptv543.com:8080/litv.php?token=leifeng&id=4gtv-4gtv076
猪哥亮歌厅秀,http://666.iptv543.com:8080/litv.php?token=leifeng&id=4gtv-4gtv006
影迷數位電影,http://666.iptv543.com:8080/litv.php?token=leifeng&id=4gtv-4gtv011
amc电影,http://666.iptv543.com:8080/litv.php?token=leifeng&id=4gtv-4gtv017
采昌影剧,http://666.iptv543.com:8080/litv.php?token=leifeng&id=4gtv-4gtv049
龙华电影,http://666.iptv543.com:8080/litv.php?token=leifeng&id=litv-longturn03
龙华洋片,http://666.iptv543.com:8080/litv.php?token=leifeng&id=litv-longturn02
龙华戏剧,http://666.iptv543.com:8080/litv.php?token=leifeng&id=litv-longturn18
龙华日韩,http://666.iptv543.com:8080/litv.php?token=leifeng&id=litv-longturn11
龙华偶像,http://666.iptv543.com:8080/litv.php?token=leifeng&id=litv-longturn12
龙华经典,http://666.iptv543.com:8080/litv.php?token=leifeng&id=litv-longturn21
龙华卡通,http://666.iptv543.com:8080/litv.php?token=leifeng&id=litv-longturn01
台湾戏剧,http://666.iptv543.com:8080/litv.php?token=leifeng&id=litv-longturn22
智林体育,http://666.iptv543.com:8080/litv.php?token=leifeng&id=4gtv-4gtv101
博斯魅力,http://666.iptv543.com:8080/litv.php?token=leifeng&id=litv-longturn04
博斯高球1,http://666.iptv543.com:8080/litv.php?token=leifeng&id=litv-longturn05
博斯高球2,http://666.iptv543.com:8080/litv.php?token=leifeng&id=litv-longturn06
博斯运动1,http://666.iptv543.com:8080/litv.php?token=leifeng&id=litv-longturn07
